_id,ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level,cik,Formatted Date,ticker/date,merged_data
662183c596f3d99ad1a244a3,DIS,Walt Disney Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,https://static.finnhub.io/logo/ef50b4a2b263c847211b567a01edb702cae8b9ef46ca1f6856ca4432a70e9f52.png,https://thewaltdisneycompany.com/,A,High,BB,Medium,BB,Medium,510,316,321,1147,BBB,High,1744489,04/19/2022,DIS04/19/2022,"{'_id': ObjectId('662183b3f6fcf517c9216388'), 'ticker': 'DIS', 'Adj Close': 131.89999389648438, 'Close': 131.89999389648438, 'High': 133.19000244140625, 'Low': 127.79000091552734, 'Open': 128.08999633789062, 'Volume': 12767200.0, 'Formatted Date': '04/19/2022', 'ticker/date': 'DIS04/19/2022'}"
662183c596f3d99ad1a244a5,GWW,WW Grainger Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Trading Companies and Distributors,https://static.finnhub.io/logo/f153dcda-80eb-11ea-bc2e-00000000092a.png,https://www.grainger.com/,B,Medium,BB,Medium,B,Medium,255,385,240,880,BB,Medium,277135,04/19/2022,GWW04/19/2022,"{'_id': ObjectId('662183b3f6fcf517c9217047'), 'ticker': 'GWW', 'Adj Close': 496.6799926757813, 'Close': 507.7300109863281, 'High': 508.9500122070313, 'Low': 490.1300048828125, 'Open': 493.489990234375, 'Volume': 308700.0, 'Formatted Date': '04/19/2022', 'ticker/date': 'GWW04/19/2022'}"
662183c596f3d99ad1a244a6,LVS,Las Vegas Sands Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,https://static.finnhub.io/logo/7256a9be-8279-11ea-874d-00000000092a.png,https://www.sands.com/,A,High,BB,Medium,BB,Medium,547,318,313,1178,BBB,High,1300514,04/18/2022,LVS04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920a456'), 'ticker': 'LVS', 'Adj Close': 36.650001525878906, 'Close': 36.650001525878906, 'High': 36.95000076293945, 'Low': 36.209999084472656, 'Open': 36.68999862670898, 'Volume': 5100200.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'LVS04/18/2022'}"
662183c596f3d99ad1a244a7,MHK,Mohawk Industries Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,https://static.finnhub.io/logo/26868a62-80ec-11ea-9712-00000000092a.png,https://mohawkind.com/,A,High,B,Medium,BB,Medium,570,298,303,1171,BBB,High,851968,04/18/2022,MHK04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920c6a7'), 'ticker': 'MHK', 'Adj Close': 122.88999938964844, 'Close': 122.88999938964844, 'High': 125.08000183105467, 'Low': 121.41000366210938, 'Open': 123.37000274658205, 'Volume': 357700.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'MHK04/18/2022'}"
662183c596f3d99ad1a244a8,LYV,Live Nation Entertainment Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,https://static.finnhub.io/logo/1cd144d2-80ec-11ea-b50a-00000000092a.png,https://www.livenationentertainment.com/,BBB,High,BB,Medium,B,Medium,492,310,250,1052,BBB,High,1335258,04/18/2022,LYV04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920a840'), 'ticker': 'LYV', 'Adj Close': 109.23999786376952, 'Close': 109.23999786376952, 'High': 111.3000030517578, 'Low': 108.23999786376952, 'Open': 111.0199966430664, 'Volume': 1277000.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'LYV04/18/2022'}"
662183c596f3d99ad1a244b5,ABNB,Airbnb Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABNB.png,https://www.airbnb.co.in/,A,High,A,High,BBB,High,505,570,400,1475,A,High,1559720,10/06/2022,ABNB10/06/2022,"{'_id': ObjectId('662183b0f6fcf517c91f962e'), 'ticker': 'ABNB', 'Adj Close': 111.58000183105467, 'Close': 111.58000183105467, 'High': 114.41000366210938, 'Low': 110.1999969482422, 'Open': 112.0, 'Volume': 3446500.0, 'Formatted Date': '10/06/2022', 'ticker/date': 'ABNB10/06/2022'}"
662183c596f3d99ad1a244e1,ADP,Automatic Data Processing Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/987cc1f6-80df-11ea-96e8-00000000092a.png,https://www.adp.com/,A,High,BB,Medium,B,Medium,500,300,200,1000,BBB,High,8670,07/25/2022,ADP07/25/2022,"{'_id': ObjectId('662183b1f6fcf517c91fbc3a'), 'ticker': 'ADP', 'Adj Close': 210.36782836914065, 'Close': 218.3800048828125, 'High': 221.22000122070312, 'Low': 216.8500061035156, 'Open': 221.0, 'Volume': 872700.0, 'Formatted Date': '07/25/2022', 'ticker/date': 'ADP07/25/2022'}"
662183c596f3d99ad1a244e9,AEP,American Electric Power Company Inc,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,https://static.finnhub.io/logo/65ca8abe-80eb-11ea-9cac-00000000092a.png,https://www.aep.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,BBB,High,4904,04/20/2022,AEP04/20/2022,"{'_id': ObjectId('662183b0f6fcf517c91fa46f'), 'ticker': 'AEP', 'Adj Close': 95.2671127319336, 'Close': 102.83000183105467, 'High': 103.33999633789062, 'Low': 102.26000213623048, 'Open': 102.98999786376952, 'Volume': 2335100.0, 'Formatted Date': '04/20/2022', 'ticker/date': 'AEP04/20/2022'}"
662183c596f3d99ad1a24530,BKNG,Booking Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static.finnhub.io/logo/a8fcd262-80e0-11ea-9907-00000000092a.png,https://www.bookingholdings.com/,A,High,BB,Medium,BB,Medium,558,306,310,1174,BBB,High,1075531,10/06/2022,BKNG10/06/2022,"{'_id': ObjectId('662183b1f6fcf517c91fd00a'), 'ticker': 'BKNG', 'Adj Close': 1705.3658447265625, 'Close': 1709.72998046875, 'High': 1732.9100341796875, 'Low': 1692.6099853515625, 'Open': 1723.6700439453125, 'Volume': 371300.0, 'Formatted Date': '10/06/2022', 'ticker/date': 'BKNG10/06/2022'}"
662183c596f3d99ad1a2453b,CME,CME Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/121b709a86980d7eb8db8589918a76d3db9e4e428b05857011dbd8957fd059bf.png,https://www.cmegroup.com/,BB,Medium,B,Medium,B,Medium,375,237,200,812,BB,Medium,1156375,07/26/2022,CME07/26/2022,"{'_id': ObjectId('662183b1f6fcf517c91ffbf6'), 'ticker': 'CME', 'Adj Close': 186.3018798828125, 'Close': 203.77999877929688, 'High': 205.5599975585937, 'Low': 202.8800048828125, 'Open': 204.4499969482422, 'Volume': 1186900.0, 'Formatted Date': '07/26/2022', 'ticker/date': 'CME07/26/2022'}"
