ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level,cik,Formatted Date,ticker/date,_id,Adj Close,Close,High,Low,Open,Volume
DIS,Walt Disney Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,https://static.finnhub.io/logo/ef50b4a2b263c847211b567a01edb702cae8b9ef46ca1f6856ca4432a70e9f52.png,https://thewaltdisneycompany.com/,A,High,BB,Medium,BB,Medium,510,316,321,1147,BBB,High,1744489,04/19/2022,DIS04/19/2022,662183b3f6fcf517c9216388,131.89999389648438,131.89999389648438,133.19000244140625,127.79000091552734,128.08999633789062,12767200.0
GWW,WW Grainger Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Trading Companies and Distributors,https://static.finnhub.io/logo/f153dcda-80eb-11ea-bc2e-00000000092a.png,https://www.grainger.com/,B,Medium,BB,Medium,B,Medium,255,385,240,880,BB,Medium,277135,04/19/2022,GWW04/19/2022,662183b3f6fcf517c9217047,496.6799926757813,507.7300109863281,508.9500122070313,490.1300048828125,493.489990234375,308700.0
LVS,Las Vegas Sands Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,https://static.finnhub.io/logo/7256a9be-8279-11ea-874d-00000000092a.png,https://www.sands.com/,A,High,BB,Medium,BB,Medium,547,318,313,1178,BBB,High,1300514,04/18/2022,LVS04/18/2022,662183b2f6fcf517c920a456,36.650001525878906,36.650001525878906,36.95000076293945,36.209999084472656,36.68999862670898,5100200.0
MHK,Mohawk Industries Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,https://static.finnhub.io/logo/26868a62-80ec-11ea-9712-00000000092a.png,https://mohawkind.com/,A,High,B,Medium,BB,Medium,570,298,303,1171,BBB,High,851968,04/18/2022,MHK04/18/2022,662183b2f6fcf517c920c6a7,122.88999938964844,122.88999938964844,125.08000183105467,121.41000366210938,123.37000274658205,357700.0
LYV,Live Nation Entertainment Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,https://static.finnhub.io/logo/1cd144d2-80ec-11ea-b50a-00000000092a.png,https://www.livenationentertainment.com/,BBB,High,BB,Medium,B,Medium,492,310,250,1052,BBB,High,1335258,04/18/2022,LYV04/18/2022,662183b2f6fcf517c920a840,109.23999786376952,109.23999786376952,111.3000030517578,108.23999786376952,111.0199966430664,1277000.0
ABNB,Airbnb Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABNB.png,https://www.airbnb.co.in/,A,High,A,High,BBB,High,505,570,400,1475,A,High,1559720,10/06/2022,ABNB10/06/2022,662183b0f6fcf517c91f962e,111.58000183105467,111.58000183105467,114.41000366210938,110.1999969482422,112.0,3446500.0
ADP,Automatic Data Processing Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/987cc1f6-80df-11ea-96e8-00000000092a.png,https://www.adp.com/,A,High,BB,Medium,B,Medium,500,300,200,1000,BBB,High,8670,07/25/2022,ADP07/25/2022,662183b1f6fcf517c91fbc3a,210.36782836914065,218.3800048828125,221.22000122070312,216.8500061035156,221.0,872700.0
AEP,American Electric Power Company Inc,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,https://static.finnhub.io/logo/65ca8abe-80eb-11ea-9cac-00000000092a.png,https://www.aep.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,BBB,High,4904,04/20/2022,AEP04/20/2022,662183b0f6fcf517c91fa46f,95.2671127319336,102.83000183105467,103.33999633789062,102.26000213623048,102.98999786376952,2335100.0
BKNG,Booking Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static.finnhub.io/logo/a8fcd262-80e0-11ea-9907-00000000092a.png,https://www.bookingholdings.com/,A,High,BB,Medium,BB,Medium,558,306,310,1174,BBB,High,1075531,10/06/2022,BKNG10/06/2022,662183b1f6fcf517c91fd00a,1705.3658447265625,1709.72998046875,1732.9100341796875,1692.6099853515625,1723.6700439453125,371300.0
CME,CME Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/121b709a86980d7eb8db8589918a76d3db9e4e428b05857011dbd8957fd059bf.png,https://www.cmegroup.com/,BB,Medium,B,Medium,B,Medium,375,237,200,812,BB,Medium,1156375,07/26/2022,CME07/26/2022,662183b1f6fcf517c91ffbf6,186.3018798828125,203.77999877929688,205.5599975585937,202.8800048828125,204.4499969482422,1186900.0
