_id,ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level,cik,Formatted Date,ticker/date,merged_data
66207532148fecfa8a159d06,DIS,Walt Disney Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,https://static.finnhub.io/logo/ef50b4a2b263c847211b567a01edb702cae8b9ef46ca1f6856ca4432a70e9f52.png,https://thewaltdisneycompany.com/,A,High,BB,Medium,BB,Medium,510,316,321,1147,BBB,High,1744489,04/19/2022,DIS04/19/2022,"[{'_id': ObjectId('662075224844cc0adb0cb8f9'), 'ticker': 'DIS', 'Adj Close': 131.89999389648438, 'Close': 131.89999389648438, 'High': 133.19000244140625, 'Low': 127.79000091552734, 'Open': 128.08999633789062, 'Volume': 12767200.0, 'Formatted Date': '04/19/2022', 'ticker/date': 'DIS04/19/2022'}]"
66207532148fecfa8a159d07,GWW,WW Grainger Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Trading Companies and Distributors,https://static.finnhub.io/logo/f153dcda-80eb-11ea-bc2e-00000000092a.png,https://www.grainger.com/,B,Medium,BB,Medium,B,Medium,255,385,240,880,BB,Medium,277135,04/19/2022,GWW04/19/2022,"[{'_id': ObjectId('662075224844cc0adb0cc5b8'), 'ticker': 'GWW', 'Adj Close': 496.6799926757813, 'Close': 507.7300109863281, 'High': 508.9500122070313, 'Low': 490.1300048828125, 'Open': 493.489990234375, 'Volume': 308700.0, 'Formatted Date': '04/19/2022', 'ticker/date': 'GWW04/19/2022'}]"
66207532148fecfa8a159d08,LYV,Live Nation Entertainment Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,https://static.finnhub.io/logo/1cd144d2-80ec-11ea-b50a-00000000092a.png,https://www.livenationentertainment.com/,BBB,High,BB,Medium,B,Medium,492,310,250,1052,BBB,High,1335258,04/18/2022,LYV04/18/2022,"[{'_id': ObjectId('662075204844cc0adb0bfdb3'), 'ticker': 'LYV', 'Adj Close': 109.23999786376952, 'Close': 109.23999786376952, 'High': 111.3000030517578, 'Low': 108.23999786376952, 'Open': 111.0199966430664, 'Volume': 1277000.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'LYV04/18/2022'}]"
66207532148fecfa8a159d09,LVS,Las Vegas Sands Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,https://static.finnhub.io/logo/7256a9be-8279-11ea-874d-00000000092a.png,https://www.sands.com/,A,High,BB,Medium,BB,Medium,547,318,313,1178,BBB,High,1300514,04/18/2022,LVS04/18/2022,"[{'_id': ObjectId('662075204844cc0adb0bf9c7'), 'ticker': 'LVS', 'Adj Close': 36.650001525878906, 'Close': 36.650001525878906, 'High': 36.95000076293945, 'Low': 36.209999084472656, 'Open': 36.68999862670898, 'Volume': 5100200.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'LVS04/18/2022'}]"
66207532148fecfa8a159d0a,CLX,Clorox Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,https://static.finnhub.io/logo/a67c34fe-80eb-11ea-a87f-00000000092a.png,https://www.thecloroxcompany.com/,A,High,BB,Medium,BB,Medium,560,350,345,1255,A,High,21076,04/16/2022,CLX04/16/2022,[]
66207532148fecfa8a159d0b,AACG,ATA Creativity Global,CNY,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AACG.svg,http://www.ata.net.cn,B,Medium,B,Medium,B,Medium,203,200,205,608,B,Medium,1420529,01/07/2022,AACG01/07/2022,[]
66207532148fecfa8a159d0c,GM,General Motors Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Automobiles,https://static.finnhub.io/logo/9253db78-80c9-11ea-920d-00000000092a.png,https://www.gm.com/,A,High,BB,Medium,B,Medium,510,303,255,1068,BBB,High,1467858,04/17/2022,GM04/17/2022,[]
66207532148fecfa8a159d0d,AAL,American Airlines Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAL.png,https://americanairlines.gcs-web.com/,B,Medium,B,Medium,B,Medium,270,211,265,746,B,Medium,6201,04/16/2022,AAL04/16/2022,[]
66207532148fecfa8a159d0e,AAME,Atlantic American Corp,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,https://static.finnhub.io/logo/6b536b3e-826a-11ea-bc66-00000000092a.png,http://www.atlam.com/,B,Medium,B,Medium,BB,Medium,220,221,300,741,B,Medium,8177,04/16/2022,AAME04/16/2022,[]
66207532148fecfa8a159d0f,AAOI,Applied Optoelectronics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Communications,https://static.finnhub.io/logo/7afdb95a-80ce-11ea-849c-00000000092a.png,http://ao-inc.com/,BB,Medium,B,Medium,B,Medium,311,256,218,785,BB,Medium,1158114,04/16/2022,AAOI04/16/2022,[]
66207532148fecfa8a159d10,MHK,Mohawk Industries Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,https://static.finnhub.io/logo/26868a62-80ec-11ea-9712-00000000092a.png,https://mohawkind.com/,A,High,B,Medium,BB,Medium,570,298,303,1171,BBB,High,851968,04/18/2022,MHK04/18/2022,"[{'_id': ObjectId('662075214844cc0adb0c1c17'), 'ticker': 'MHK', 'Adj Close': 122.88999938964844, 'Close': 122.88999938964844, 'High': 125.08000183105467, 'Low': 121.41000366210938, 'Open': 123.37000274658205, 'Volume': 357700.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'MHK04/18/2022'}]"
66207532148fecfa8a159d11,AAON,Aaon Inc,USD,NASDAQ NMS - GLOBAL MARKET,Building,https://static.finnhub.io/logo/8819421c-80df-11ea-80b9-00000000092a.png,https://www.aaon.com/,A,High,BB,Medium,B,Medium,500,300,223,1023,BBB,High,824142,04/16/2022,AAON04/16/2022,[]
66207532148fecfa8a159d12,AAPL,Apple Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png,https://www.apple.com/,BB,Medium,B,Medium,B,Medium,355,281,255,891,BB,Medium,320193,04/16/2022,AAPL04/16/2022,[]
66207532148fecfa8a159d13,AATC,Autoscope Technologies Corp,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,,,BBB,High,B,Medium,B,Medium,410,286,240,936,BBB,High,943034,11/06/2022,AATC11/06/2022,[]
66207532148fecfa8a159d14,AACI,Armada Acquisition Corp I,USD,NASDAQ NMS - GLOBAL MARKET,,,,B,Medium,B,Medium,B,Medium,205,200,200,605,B,Medium,1844817,06/20/2022,AACI06/20/2022,[]
66207532148fecfa8a159d15,ABNB,Airbnb Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABNB.png,https://www.airbnb.co.in/,A,High,A,High,BBB,High,505,570,400,1475,A,High,1559720,10/06/2022,ABNB10/06/2022,"[{'_id': ObjectId('6620751f4844cc0adb0aeb9f'), 'ticker': 'ABNB', 'Adj Close': 111.58000183105467, 'Close': 111.58000183105467, 'High': 114.41000366210938, 'Low': 110.1999969482422, 'Open': 112.0, 'Volume': 3446500.0, 'Formatted Date': '10/06/2022', 'ticker/date': 'ABNB10/06/2022'}]"
66207532148fecfa8a159d16,ABIO,ARCA Biopharma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/52ec4c2e0c249a506cbce41ef284e287901cccb0a08db285aa9a9d4091ba8434.png,http://arcabio.com/,B,Medium,B,Medium,B,Medium,200,222,290,712,B,Medium,907654,04/16/2022,ABIO04/16/2022,[]
66207532148fecfa8a159d17,ABMD,ABIOMED Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/8b2cc7cc-80df-11ea-b8c7-00000000092a.png,https://www.abiomed.com/,A,High,BB,Medium,BB,Medium,500,324,305,1129,BBB,High,815094,04/16/2022,ABMD04/16/2022,[]
66207532148fecfa8a159d18,ABOS,Acumen Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/f1081a3d8031ad222b050bbbcfef7a073cea50638ad028f1fd31c5ca934f3820.png,https://acumenpharm.com/,B,Medium,B,Medium,B,Medium,205,201,200,606,B,Medium,1576885,11/06/2022,ABOS11/06/2022,[]
66207532148fecfa8a159d19,ABSI,Absci Corp,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,https://static.finnhub.io/logo/d030f309b5a348085ba6297eadf507c1d7410dbf605e6147f34eec997f6f073f.png,https://www.absci.com/,B,Medium,B,Medium,B,Medium,205,224,230,659,B,Medium,1672688,11/06/2022,ABSI11/06/2022,[]
66207532148fecfa8a159d1a,ABTX,Allegiance Bancshares Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/b34c7c52-80d2-11ea-8e19-00000000092a.png,https://ir.allegiancebank.com/,B,Medium,BB,Medium,BB,Medium,298,300,300,898,BB,Medium,1642081,04/16/2022,ABTX04/16/2022,[]
66207532148fecfa8a159d1b,ABUS,Arbutus Biopharma Corp,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/0068df02-80ca-11ea-abb6-00000000092a.png,https://www.arbutusbio.com/,B,Medium,B,Medium,BB,Medium,203,204,338,745,B,Medium,1447028,04/16/2022,ABUS04/16/2022,[]
66207532148fecfa8a159d1c,ABVC,ABVC Biopharma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/2b1c9fbcfafa70dcfa10247ad6ebe12858ca5878a4c90e32840a2080a507eb3d.png,https://abvcpharma.com/,B,Medium,B,Medium,B,Medium,220,212,205,637,B,Medium,1173313,11/06/2022,ABVC11/06/2022,[]
66207532148fecfa8a159d1d,ACAD,ACADIA Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/2d87da57d47f7a5c0225c54f67d806d3a906cec1ea63d739dad084772cf5079c.png,https://acadia.com/,B,Medium,B,Medium,BB,Medium,230,230,305,765,BB,Medium,1070494,04/16/2022,ACAD04/16/2022,[]
66207532148fecfa8a159d1e,ACAC,Acri Capital Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,,,,B,Medium,B,Medium,BB,Medium,200,205,300,705,B,Medium,1914023,10/06/2022,ACAC10/06/2022,[]
66207532148fecfa8a159d1f,ACCD,Accolade Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/a967c80c75f9c72bb31fd3ae796a0a4e1e0dec7378ade4f78c06f10d89acf8bf.png,https://www.accolade.com,B,Medium,B,Medium,B,Medium,255,254,235,744,B,Medium,1481646,10/06/2022,ACCD10/06/2022,[]
66207532148fecfa8a159d20,ACET,Adicet Bio Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/ea701be36180b02128c519975a35fcca2ef8ef5cd412e65e7ff39eb054703270.png,https://www.adicetbio.com/,B,Medium,B,Medium,BB,Medium,215,211,305,731,B,Medium,1720580,04/16/2022,ACET04/16/2022,[]
66207532148fecfa8a159d21,AADI,Aadi Bioscience Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/358b0921e9d761a529cffa812e99b140f4bb9c2e1e63bfeee3a4ea7165257e7b.png,https://aadibio.com/,B,Medium,B,Medium,B,Medium,200,201,203,604,B,Medium,1422142,11/06/2022,AADI11/06/2022,[]
66207532148fecfa8a159d22,ABCB,Ameris Bancorp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/8cea9450-80df-11ea-80b8-00000000092a.png,https://www.amerisbank.com/,B,Medium,BB,Medium,B,Medium,290,300,250,840,BB,Medium,351569,04/16/2022,ABCB04/16/2022,[]
66207532148fecfa8a159d23,AAWW,Atlas Air Worldwide Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Logistics and Transportation,https://static.finnhub.io/logo/8b74bf8a-80df-11ea-8463-00000000092a.png,https://www.atlasairworldwide.com/,A,High,B,Medium,B,Medium,520,243,237,1000,BBB,High,1135185,04/16/2022,AAWW04/16/2022,[]
66207532148fecfa8a159d24,ABCL,Abcellera Biologics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,https://static.finnhub.io/logo/cd950365b552eae0cadf348f427e5a4dd05974468d5803b8b63e44da362a5ee9.png,https://www.abcellera.com/,A,High,BB,Medium,BB,Medium,540,354,345,1239,A,High,1703057,10/06/2022,ABCL10/06/2022,[]
